Timestamp,Please enter your participant ID,Please enter your estimated average treatment effect for the treated (SATT),Please enter the standard deviation of the estimated SATT,Please enter the 95% confidence interval for the estimated SATT,"Please enter the point estimate of the SATT for `mom_race` at level ""A"".","Please enter the 95% confidence interval of the estimated SATT for `mom_race` at level ""A"".",To interpret these results causally what assumptions would you have to make. Please summarize in one to two sentences at most.,What language did you use in today in running the analysis as part of this study?,What approach did you use for running the analysis as part of this study?,How long did it take for you to run the data analysis needed to answer the causal question you were assigned with today? ,How proficient/familiar are you with the tool you used in today's analysis?,Please rate the ease of use of the tool you used in today's analysis.,Please rate your confidence in the results of your analysis.,"If were ""stuck"" at any point in your analysis, did the tool you were using have a user guide or documentation that was able to unblock you or did you need external assistance? ",Did you experience any lagging or crashing of the software (you were using to run your analysis)?,"If you used thinkCausal today, how frequently do you use online web-based tools like thinkCausal for data analysis and answering causal questions?",What do you think are the primary drawbacks of the tool you used today? ,What were the most useful features of the tool you used today?,What improvements would you suggest for the tool you used today?,Would you recommend this tool to a fellow colleague/researcher for analysing their data to answer causal questions?,Is there anything else you would like us to know about your experience today?,Would you like to receive feedback (via follow up email) on your analysis today?
3/4/2024 15:21:15,100060,3.951,0.071,"(3.827, 4.1)",7.9715,"(6.3406, 9.0412)",Mom's race may cause the difference in child's IQ.,Think casual,thinkCausal,15 minites,1,4,4,The tool had resources that I could use to resolve my issue,No,4,"Cumbersome setup in terms of installing required software(s)/package(s), Limited scope in terms of the kinds of analysis that can be done","Intuitiveness/easy to follow, Adaptive to multiple analysis scenarios, Reminded me about causal inference basics that I had forgotten or no longer understand well",It may allow us to do more on the modification of variables.,Yes,"This is my first time using this analysis tool, and I can follow the protocol in it and do all the steps easily. Thus, I think it's really nice for fresh people.",Yes
3/4/2024 17:59:42,300083,5.449,0.185,5.43 - 5.454,8.316,8.311 - 8.321,"The data was randomly collected, although in this case we know it is not.",R,Linear regression,An hour,2,4,1,The tool had resources that I could use to resolve my issue,No,1,Couldn't remember enough about causal inference to have a clear idea how to proceed,"Intuitiveness/easy to follow, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Software is freely available",I think R is fairly mature in analysis like these. NA,Yes,I think the email should make it clear we'll be solving a case study. I could have read up on the topic a bit before coming then. ,Yes
3/4/2024 18:21:08,100078,3.951,0.071,"[3.827, 4.1]",7.9715,"[6.3406, 9.0412]",We have included every confounder in this model.,thinkCausal,thinkCausal,5 minutes,1,4,2,The tool had resources that I could use to resolve my issue,No,3,Hard to find useful documentation/user support,"Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing",,Maybe if they had some prior experience with the tool/related software packages,I know little about bart so maybe an introduction will help me better conduct this survey.,Yes
3/4/2024 19:32:49,100081,3.986,0.077,3.826 - 4.136,9.0144,4.3774 - 10.1351,All predictors are pre-treatment variables. ,None,thinkCausal,20 minutes,1,2,3,The tool had resources that I could use to resolve my issue,Yes,2,"Names like ""lci"" and ""uci"" were used which was not very clear to work with.  ","Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy and informative data inspection and visualization, Easy to re-run analysis in case of errors/system lag or crashing, Reminded me about causal inference basics that I had forgotten or no longer understand well","All my predictors are pre-treatment variables, so I needed to drag all of them to the confounder's window - this had to be done one by one. It would be easier if the UI included checkboxes as the process of dragging one variable after the other was tedious. ",Yes,No,Yes
3/5/2024 17:52:22,300085,4.5176,0.1983,"(4.1289, 4.9062)",9.3323,"(6.6841, 11.9806)","For children with mom race in group A, the SATT is larger than that for overall sample, so they need this preschool program more than others.",Python,propensity score matching using Python,40min,3,3,3,The tool had resources that I could use to resolve my issue,No,1,"Cumbersome setup in terms of installing required software(s)/package(s), Easy to miss parameters that need setting/unsetting, Data privacy compromised as it requires sharing data with third-party",Software is freely available,"actually using statistical software is better than using programming languages. if you are rusty on the knowledge, writing scripts is slow, but using software do not need very detailed knowledge on implementation.",Maybe if they had some prior experience with the tool/related software packages,no,No
3/5/2024 18:54:06,300076,NA,NA,NA,NA,NA,NA,R,Matching without propensity score,one hour,2,3,1,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,Couldn't remember enough about causal inference to have a clear idea how to proceed,Adaptive to multiple analysis scenarios,,Yes,None,Yes
3/5/2024 19:23:41,100096,3.97,0.068,"[3.831,4.098]",9.02,"[6.87,9.84]","iid sample, no perfect multicollinearity","None, did not program",thinkCausal,25 minutes,1,4,4,The tool had resources that I could use to resolve my issue,No,1,"Cumbersome setup in terms of installing required software(s)/package(s), Limited scope in terms of the kinds of analysis that can be done, Data privacy compromised as it requires sharing data with third-party","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results",,Yes,"The documentation, parts of it wasn't in English",Yes
3/6/2024 14:43:58,100095,3.989,0.068,"[3.858, 4.119]",9.0715,"[6.2646, 9.7106]",We assume that the potential outcome and treatment is conditionally independent of confounders. ,Did not see a language specification,thinkCausal,30 minutes,1,5,3,The tool had resources that I could use to resolve my issue,No,5,Data pre-processing,"Intuitiveness/easy to follow, Rich and easy to use documentation/user guide",,Yes,Providing meta data on the dataset would be helpful to give better profile about the data,Yes
3/6/2024 15:33:39,100079,3.97,0.068,3.831,9.0291,9.8386,This is an observational study. Children were not randomly assigned into the program. ,I did not use any programming language,bartCause,20,1,4,5,The tool had resources that I could use to resolve my issue,Yes,4,"Slow in processing, Data privacy compromised as it requires sharing data with third-party","Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy and informative data inspection and visualization, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results","When I want to go back to the last page, there is no button to back. I am afraid of clicking the categories on the left side which might cause I will redo again. ",Yes,This is a good tool for a people who has less the background in causal inference. Easy to get the results. ,Yes
3/6/2024 16:03:35,100080,3.967,0.068,"[3.831, 4.098]",9.0291,"[6.8717, 9.8386]",We assume sample are randomly selected. ,thinkCausal,thinkCausal,20min,1,4,5,I tested the tool by myself then figured out. ,Yes,1,Slow in processing,"Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Reminded me about causal inference basics that I had forgotten or no longer understand well","It could be faster. For the visualization part, it's a little bit confusing. ",Yes,no.,Yes
3/7/2024 16:11:55,300093,3.967,0.068,"(3.831, 4.098)",9.0291,"(6.8717, 9.8386)","Imbalanced data, oversampling",Python,thinkCausal,65mins,1,3,2,The tool had resources that I could use to resolve my issue,No,1,"Couldn't remember enough about causal inference to have a clear idea how to proceed, Never studied causal inference. Looking to take it up next semester","Intuitiveness/easy to follow, Reminded me about causal inference basics that I had forgotten or no longer understand well",Do not keep solutions on the same hardware and allow us to freely use all resources we deem necessary lol,Yes,I think I like causal inference. I would definitely like to work on such data again,Yes
3/7/2024 17:30:38,300084,3.743,6.02,"(3.425,4.061)",0.96724,"(-1.67528,3.60977)",They are all representative variable to predict the y,Python,Linear regression,10 minutes,2,3,1,The tool had resources that I could use to resolve my issue,No,1,"Cumbersome setup in terms of installing required software(s)/package(s), Couldn't remember enough about causal inference to have a clear idea how to proceed","Intuitiveness/easy to follow, Rich and easy to use documentation/user guide",Have more interactive UI ,No,"So many feedback about the tool, is there anything interesting on the statistical aspect.",No
3/7/2024 19:43:41,100110,3.967,0.068,3.831-4.098,9.0291,6.8717-9.8386,One of the assumptions would be that all covariates were considered. ,it was automatic by thinkcausal right? ,thinkCausal,"the analysis part is ~5min, but I spent some time (~20min) reading the thinkcausal articles. ",1,4,2,The tool had resources that I could use to resolve my issue,No,2,didn't know it could do so much before I started... so wasted some time reading articles ,"Intuitiveness/easy to follow, Easily accessible and interpretable analysis results, Reminded me about causal inference basics that I had forgotten or no longer understand well","Sometimes I felt like there were too much information, and didn't know where to focus. ",Yes,N/A ,Yes
3/11/2024 16:07:54,200094,NA,NA,NA,NA,NA,NA,R,bartCause,NA,2,3,1,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,"Hard to find useful documentation/user support, Easy to miss parameters that need setting/unsetting",Reminded me about causal inference basics that I had forgotten or no longer understand well,"Better documentation as I kept running into errors that weren't really tough but needed documentation for bartCause for sure, it does have one on the internet but isn't good enough",Maybe if they had some prior experience with the tool/related software packages,Wished I could solve those errors on time,Yes
3/11/2024 17:30:46,100097,3.967,0.068,3.831-4.098,9.0291,6.8717-9.8386,"To compare the results of mom_race 'A' to the rest of the results, we will have to assume all else being equal. We need to assume random assignment or no effect for the rest of the variables.",ThinkCausal,thinkCausal,15 minutes,1,4,4,The tool had resources that I could use to resolve my issue,Yes,1,Hard to find useful documentation/user support,"Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Easy to re-run analysis in case of errors/system lag or crashing","Improvements  in the ""What does this mean part"". It is mainly showing up lorem ipsum.",Yes,N/A,Yes
3/12/2024 15:39:29,300098,5.448,0.9089,"3.63,7.2658",8.316,"3.462,13.17",First it is necessary to identify any confounding factors in that affect the treatment,Python,Linear regression,25 minutes,5,5,3,The tool did not have any supporting resources like a user guide or documentation,No,1,Easy to miss parameters that need setting/unsetting,Software is freely available,,Yes,-,Yes
3/13/2024 16:46:14,300043,5.448974,0.185328,5.085646-5.812302,na - no observations,null,"That these two groups was similar prior to assignment to treatment, which probably they are not since they were not randomly assigned",Stata,Linear regression,I wasn't able to complete it since it told me that no observations were available for mom_race,3,3,1,the tool did have some resources under the help feature that were useful but I also needed external help,No,1,trouble importing the data set ,Easy to re-run analysis in case of errors/system lag or crashing,better explanations for what error messages mean. they tend to sound like nonsense or don't tell you what's wrong accurately ,Maybe if they had some prior experience with the tool/related software packages,It is hard to start with a blank .do file staring at you. Usually I started by copying some code from prior analysis which is less intimidating. ,Yes
3/14/2024 16:31:27,300115,3.967,0.068,"(3.831,4.098)",9.029,"(6.872,9.839)",SUTVA; Ignorability,Thinkcausal,thinkCausal,10 min,2,4,3,The tool had resources that I could use to resolve my issue,No,1,Couldn't remember enough about causal inference to have a clear idea how to proceed,"Intuitiveness/easy to follow, Easy to re-run analysis in case of errors/system lag or crashing, Software is freely available, Reminded me about causal inference basics that I had forgotten or no longer understand well","More functions? I didn't see any matching or weighting option (may be I miss) and when I find some unbalance using propensity score, I assume it could be helpful to show which variable mainly contribute to the unbalance and what exact propensity score model the system is using.",Yes,"The study samples seem not independent from each other (may be you didn't assume that). I got some feedback from students who previously attended weeks ago and so I briefly know what kind of analysis I'll do today. However, very great experience! It remind me I NEED TO REVIEW MY CAUSAL INFERENCE!",Yes
3/14/2024 18:20:59,100118,3.967,0.068,"[3.831,4.098]",9.0291,"[6.8717,9.8386]","You would have to assume that people self-assigned into the treatment group at random (which is unlikely given this dataset, but that would make it more ""experimental"")",thinkCausal,thinkCausal,15 mins,1,5,4,The tool had resources that I could use to resolve my issue,No,4,Couldn't remember enough about causal inference to have a clear idea how to proceed,Intuitiveness/easy to follow,Some of the sidebar documentation is lorem-ipsumed out so I just guessed what some plots were probably for (but was well documented for the most part). But I assume that would be filled out in the final version of thinkCausal,Yes,No but I'd love to know when the grad class in Causal Inference is being offered next so I can learn more about this!,Yes
3/14/2024 19:36:04,300122,5.533,0.185,"(4.993, 6.073)",9.51,"(2.932, 16.498)","Balance and overlap on the treated, SUTVA,",R,bartCause,35 minutes,3,2,2,The tool had resources that I could use to resolve my issue,No,2,Limited scope in terms of the kinds of analysis that can be done,Adaptive to multiple analysis scenarios,,Yes,NA,No
3/15/2024 13:41:40,300066,5.45,0.19,5.08-5.82,8.31,5.22-11.41,"The estimated SATT is 5.35 but increasing to 8.31 if mom's race is ""A"".",Stata,Linear regression,30 mins,3,5,2,The tool did not have any supporting resources like a user guide or documentation,No,1,Hard to find useful documentation/user support,Easy and informative data inspection and visualization,,Maybe if they had some prior experience with the tool/related software packages,I would like to know the answer and actually I am not sure I am on the right track to solve the problem.,Yes
3/15/2024 15:51:19,200117,5.484,0.2018,"[5.088, 5.879]",7.468,"[4.265, 10.67]",That there is no excluded variable bias and that the sample is representative.,R,bartCause,40 minutes,1,2,1,"The tool had resources such as the CRAN description however I did not find it to be easy to use, for example I could not figure out how to add more than one confounder",No,1,"Hard to find useful documentation/user support, Visualizing and inspecting the data and modeling results is time/skill intensive, requires more than very basic background coding knowledge","Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Software is freely available",explain more thoroughly how to apply multiple confounders; condense and simplify documentation,Maybe if they had some prior experience with the tool/related software packages,Somewhat difficult to tell what issues were due to my lack of experience with causal inference and what issues were due to the obtuseness of the software,No
3/15/2024 16:38:41,300138,5.449,0.185,"(5.085,5.812)",8.316,"(5.013, 11.619)",I will have to assume that children were randomly assigned into the program (I know it's not but I don't have much information to decide what covariates to include).,R,Linear regression,20 minutes,5,5,1,The tool had resources that I could use to resolve my issue,No,1,Easy to miss parameters that need setting/unsetting,"Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Software is freely available, Reminded me about causal inference basics that I had forgotten or no longer understand well",I would do more robustness checks with multivariable analysis etc.,Yes,What's the aim of this research,Yes
3/26/2024 17:34:32,100137,3.973,0.068,"(3.824, 4.098)",9.1073,"(6.093, 10.2885)",1. There is no other variable not included in the list of confounders that is driving the result. 2. The treatment is randomly assigned.,Don't know,thinkCausal,15 minutes,1,5,4,"There was a help guide, but some of the sections of it were not filled in.",No,1,"It's a black box, easy to misinterpret results or set up incorrectly","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Reminded me about causal inference basics that I had forgotten or no longer understand well",Properly fill in all sections of the data guide. Provide info about the limitations of statistical methods and care required in interpreting results.,Yes,No,Yes
3/27/2024 17:12:01,200121,N/A,N/A,N/A,N/A,N/A,N/A,R,bartCause,50mins,2,2,2,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,4,"Hard to find useful documentation/user support, Visualizing and inspecting the data and modeling results is time/skill intensive","Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Reminded me about causal inference basics that I had forgotten or no longer understand well",some tips or Let the participants use the tool they are familiar with  ,Maybe if they had some prior experience with the tool/related software packages,it's a good design ,No
3/28/2024 15:45:27,300120,5.464,0.19,"5.091, 5.837",8.609,"5.317,11.845","You would want that there is some level of randomization of the treatment variable, ie we aren't capturing selection into the program driven b y unobservable characteristics.",Stata,Propensity score matching/weighting using Stata,about 30 mins,1,4,1,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,"Hard to find useful documentation/user support, Couldn't remember enough about causal inference to have a clear idea how to proceed","Intuitiveness/easy to follow, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Reminded me about causal inference basics that I had forgotten or no longer understand well",Easier access to documentation. It was relatively hard to find in interlinked pages,Maybe if they had some prior experience with the tool/related software packages,It was hard to determine what all possible predictors to be including and what not.,Yes
4/2/2024 18:12:31,300123,5.49955,0.2502168,5.009139 - 5.98997,9.898071,6.374532 - 13.42161,The two main assumptions using the Propensity score matching method that I used was: 1) the treatment should be exogenous to the outcome (not endogeneity) and 2) all relevant factors that determine whether a subject is in treatment group or not should be a covariate in the model.,Stata,Propensity score matching/weighting using Stata,35 minutes,4,4,4,The tool had resources that I could use to resolve my issue,No,1,"Cumbersome setup in terms of installing required software(s)/package(s), Easy to miss parameters that need setting/unsetting, Limited scope in terms of the kinds of analysis that can be done","Intuitiveness/easy to follow, Easy to re-run analysis in case of errors/system lag or crashing, Software is freely available",the balance check command in the postestimation did not work to ensure after matching the treatment and control group is well balanced,Yes,"It was kind of difficult to determine the context of the treatment, especially since the PSM method needs the covariates to determine whether the subject is treated or not in the model.",Yes
4/4/2024 17:54:40,200124,4.63,0.17,4.30-4.97,8.15,4.39-11.91,All of the covariates are pre-treatment,R,Propensity score matching/weighting using R,20 minutes,4,3,2,The tool did not have any supporting resources like a user guide or documentation,No,1,Couldn't remember enough about causal inference to have a clear idea how to proceed,Intuitiveness/easy to follow,,Maybe if they had some prior experience with the tool/related software packages,I wasn't sure whether I was supposed to use the bartCause package. I didn't find any documentation and decided to proceed with something I thought would work. I used ChatGPT for code generation.,Yes
4/4/2024 18:36:49,100088,3.967,0.068,"3.831, 4.098",9.0291,"2.7533, 3.5155",The treatment group make-up  is representative of the real world. That is the distribution of children in the treatment group reflects the average distribution of children across both the treatment and control groups. ,thinkCausal UI,thinkCausal,5 mins,1,4,4,The tool had resources that I could use to resolve my issue,Yes,1,Data privacy compromised as it requires sharing data with third-party,"Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy and informative data inspection and visualization, Software is freely available, Reminded me about causal inference basics that I had forgotten or no longer understand well",,Yes,"Reading the tutorials helped me revise a lot of basic causal inference concepts, so thanks!",No
